customerid,churn,customer_gender,customer_seniorcitizen,customer_partner,customer_dependents,customer_tenure,phone_phoneservice,phone_multiplelines,internet_internetservice,internet_onlinesecurity,internet_onlinebackup,internet_deviceprotection,internet_techsupport,internet_streamingtv,internet_streamingmovies,account_contract,account_paperlessbilling,account_paymentmethod,account_charges_monthly,account_charges_total,cuentas_diarias
4831-eobfe,Yes,Male,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),94.65,2649.15,3.1550000000000002
4832-vrbmr,No,Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),103.15,6792.45,3.4383333333333335
4833-qtjno,No,Male,1,Yes,No,67,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),83.85,5588.8,2.795
4835-ysjmr,No,Male,0,No,No,39,Yes,No,Dsl,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),49.8,1971.15,1.66
4836-wnfno,No,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.0,1849.2,0.8333333333333334
4837-pztic,No,Female,0,No,No,47,No,No phone service,Dsl,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,41.9,1875.25,1.3966666666666667
4837-qusft,No,Female,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),100.15,6643.5,3.3383333333333334
4840-orqxb,No,Female,1,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,104.75,5841.35,3.4916666666666667
4844-jjwuy,Yes,Female,1,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.0,86.0,2.8666666666666667
4846-whafz,Yes,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,2.55
4847-qnoka,Yes,Female,0,No,No,1,Yes,No,Dsl,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.9,44.9,1.4966666666666666
4847-tajyi,No,Female,1,No,No,6,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.35,567.8,2.978333333333333
4849-pyrlq,No,Female,1,No,No,56,Yes,Yes,Dsl,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),73.25,4054.2,2.441666666666667
4851-bqdnx,No,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,85.05,3355.65,2.835
4853-oitsn,No,Male,0,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.15,413.25,2.9716666666666667
4853-rulsv,Yes,Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),104.0,7250.15,3.466666666666667
4854-cidcf,No,Female,1,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,73.85,196.4,2.4616666666666664
4854-ssltn,No,Male,0,Yes,Yes,2,Yes,No,Dsl,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,59.5,130.5,1.9833333333333334
4855-snkmy,Yes,Female,0,No,No,1,Yes,No,Dsl,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,44.1,44.1,1.47
4859-zsrdz,No,Female,0,Yes,Yes,58,No,No phone service,Dsl,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),55.5,3166.9,1.85
4860-ijude,No,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.75,956.65,2.4583333333333335
4860-yzgzm,No,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.0,185.4,0.6666666666666666
4868-aadlv,No,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,116.25,7862.25,3.875
4869-epius,No,Male,0,Yes,No,56,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,80.9,4557.5,2.6966666666666668
4871-jtkjf,Yes,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.65,69.65,2.3216666666666668
4872-jcvca,No,Female,0,Yes,No,71,No,No phone service,Dsl,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),47.6,3377.8,1.5866666666666667
4872-vxril,No,Male,0,No,No,56,Yes,Yes,Dsl,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),64.65,3665.55,2.1550000000000002
4873-ilolj,Yes,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.35,2238.5,3.0116666666666663
4877-evatk,Yes,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.0,20.0,0.6666666666666666
4877-tsoff,No,Female,0,Yes,Yes,55,Yes,Yes,Dsl,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.75,4264.25,2.525
4878-bunfv,No,Male,0,Yes,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.7,828.85,0.69
4879-gzlfh,No,Female,0,Yes,Yes,42,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.15,3875.4,3.0716666666666668
4881-gqjtw,No,Male,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),19.6,300.4,0.6533333333333334
4881-jvqod,No,Male,1,Yes,Yes,10,No,No phone service,Dsl,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),34.55,362.6,1.1516666666666666
4883-kcpzj,No,Female,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.25,555.4,0.8416666666666667
4883-qicih,Yes,Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.75,2347.9,2.325
4884-levmq,No,Male,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.45,790.0,0.6816666666666666
4884-tvuqf,No,Female,1,No,No,57,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),101.3,5779.6,3.3766666666666665
4884-zthvf,No,Female,1,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,87.1,713.6,2.9033333333333333
4890-vmuav,No,Male,0,No,No,63,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,71.5,4576.3,2.3833333333333333
4891-nluba,No,Female,0,Yes,Yes,61,No,No phone service,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),61.45,3751.15,2.0483333333333333
4892-vlanz,Yes,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.8,19.8,0.66
4893-gyuju,No,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,19.35,1033.0,0.645
4895-tmwir,Yes,Male,1,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,0.6649999999999999
4896-cprpf,No,Male,0,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.45,809.25,0.8483333333333333
4897-qsuyc,Yes,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.15,20.15,0.6716666666666666
4900-msomt,No,Female,0,Yes,Yes,72,Yes,Yes,Dsl,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),80.2,5714.2,2.6733333333333333
4902-ohlsk,Yes,Female,1,No,No,29,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,98.65,2862.75,3.2883333333333336
4903-cnozc,No,Male,0,No,No,29,Yes,Yes,Dsl,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),70.9,1964.6,2.3633333333333337
4903-uyavb,Yes,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.35,126.05,0.645
4905-jefdw,Yes,Male,0,No,No,11,No,No phone service,Dsl,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,41.6,470.6,1.3866666666666667
4906-zhgpk,No,Male,0,Yes,Yes,54,Yes,Yes,Dsl,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,70.7,3770.0,2.356666666666667
4908-xaxay,No,Female,1,No,No,49,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),89.85,4287.2,2.9949999999999997
4909-joupp,No,Male,1,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),109.7,7898.45,3.6566666666666667
4910-aqffx,Yes,Male,0,Yes,Yes,9,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35,661.25,2.645
4910-gmjot,Yes,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.6,94.6,3.1533333333333333
4911-banwh,Yes,Female,0,No,Yes,31,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),86.55,2697.4,2.885
4912-piguy,No,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.6,84.6,2.82
4913-ehyui,Yes,Male,1,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.55,5794.65,3.485
4915-bfsxl,No,Male,0,Yes,Yes,70,Yes,Yes,Dsl,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),68.95,4858.7,2.2983333333333333
4918-fyjnt,No,Female,1,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,90.45,5044.8,3.015
4918-qlliw,Yes,Male,0,No,No,3,Yes,No,Dsl,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),53.4,188.7,1.78
4919-ikaty,Yes,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,84.5,453.75,2.816666666666667
4919-moavt,Yes,Male,0,No,Yes,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,69.65,220.1,2.3216666666666668
4922-cvpdx,No,Female,0,Yes,No,26,Yes,No,Dsl,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),73.5,1905.7,2.45
4923-adwxj,No,Female,0,No,No,25,Yes,No,Dsl,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.8,1679.65,2.1933333333333334
4925-lmhok,Yes,Male,0,No,No,15,Yes,Yes,Dsl,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),58.6,939.7,1.9533333333333334
4926-umjzd,No,Female,0,Yes,No,31,Yes,No,Dsl,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,49.2,1498.55,1.6400000000000001
4927-wwooz,No,Male,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.45,171.45,3.0483333333333333
4929-bstrx,Yes,Female,0,No,No,1,Yes,No,Dsl,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,53.55,53.55,1.785
4929-roart,No,Male,0,No,No,18,Yes,Yes,Dsl,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,56.25,969.85,1.875
4929-xihvw,No,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,3.183333333333333
4931-trzwn,No,Female,0,No,No,13,Yes,No,Dsl,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,71.95,923.85,2.3983333333333334
4933-bsaip,No,Female,0,Yes,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.1,780.1,0.6366666666666667
4933-ikulf,No,Female,1,No,No,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,330.6,0.6883333333333332
4936-ypjnk,No,Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,199.45,0.6633333333333333
4937-qpzpo,No,Male,0,Yes,Yes,61,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,99.9,6241.35,3.33
4939-kyypy,No,Male,0,No,No,27,Yes,Yes,Dsl,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,59.45,1611.65,1.9816666666666667
4940-khcwd,No,Female,0,Yes,No,60,No,No phone service,Dsl,Yes,Yes,No,Yes,No,No,Two year,No,Bank transfer (automatic),37.7,2288.7,1.2566666666666668
4942-vzzom,No,Male,0,Yes,No,64,Yes,Yes,Dsl,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),66.15,4392.5,2.205
4945-rvmte,No,Female,0,No,No,28,Yes,No,Dsl,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),59.55,1646.45,1.9849999999999999
4946-edsew,Yes,Female,0,Yes,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.25,180.3,0.6416666666666667
4947-dsmxk,No,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.7,3410.0,3.256666666666667
4948-wbbkl,No,Female,1,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.9,2659.45,2.496666666666667
4950-bdeux,No,Male,0,No,No,35,No,No phone service,Dsl,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.2,1701.65,1.6400000000000001
4950-hkqte,No,Female,0,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.25,605.9,0.875
4951-ukaaq,Yes,Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,88.95,355.2,2.9650000000000003
4952-ysogz,Yes,Female,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,381.3,2.865
4955-vcwbi,No,Female,0,Yes,Yes,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,817.95,0.6666666666666666
4957-sreec,No,Male,0,Yes,Yes,70,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.35,1458.1,0.6783333333333333
4957-tialw,No,Female,0,No,Yes,15,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),65.6,1010.0,2.1866666666666665
4957-treir,No,Male,0,No,No,3,Yes,No,Dsl,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),64.4,195.65,2.146666666666667
4958-gzwiy,Yes,Male,0,Yes,Yes,7,Yes,No,Dsl,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,48.7,340.25,1.6233333333333335
4958-xcbdq,Yes,Male,1,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.4,3496.3,3.3800000000000003
4959-josrx,Yes,Female,0,Yes,No,2,Yes,No,Dsl,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,1.4866666666666668
4962-chqpw,No,Male,0,No,Yes,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,535.05,0.6616666666666667
4967-wpncf,No,Male,0,No,No,72,No,No phone service,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),63.7,4464.8,2.1233333333333335
4971-puyqo,Yes,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,94.55,2724.6,3.1516666666666664
4973-mgton,No,Female,0,Yes,No,71,Yes,No,Dsl,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),84.4,5969.3,2.8133333333333335
4973-rlzvi,No,Female,0,No,No,30,Yes,No,Dsl,Yes,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),74.65,2308.6,2.4883333333333337
4976-lnfvv,No,Male,1,Yes,No,19,No,No phone service,Dsl,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),34.3,577.15,1.1433333333333333
4979-hprfl,No,Male,0,Yes,Yes,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.15,1402.25,0.8049999999999999
4980-urkxc,No,Male,0,Yes,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.85,720.05,0.6950000000000001
4981-fltmf,No,Female,0,Yes,Yes,57,Yes,Yes,Dsl,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),65.2,3687.85,2.1733333333333333
4983-ccwmc,No,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.6,207.4,2.32
4983-clmlv,No,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),102.7,5138.1,3.4233333333333333
4986-mxsfp,No,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.0,40.9,0.6666666666666666
4987-gqwpo,No,Male,0,No,No,17,No,No phone service,Dsl,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),25.1,382.8,0.8366666666666667
4988-iqigl,Yes,Male,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35,2.5116666666666663
4989-lixvt,No,Male,1,No,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.9,6503.2,3.1966666666666668
4990-aldgw,No,Male,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,1118.8,0.6916666666666667
4992-ltjne,No,Male,0,Yes,Yes,72,Yes,Yes,Dsl,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),55.3,3983.6,1.8433333333333333
4993-jcrgj,No,Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,84.3,2281.6,2.81
4994-obrsz,No,Male,0,No,Yes,14,Yes,No,Dsl,Yes,Yes,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),76.1,1054.8,2.5366666666666666
4998-ikfse,No,Female,0,No,No,30,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,100.45,3096.9,3.3483333333333336
4999-iezlt,No,Male,0,No,No,66,No,No phone service,Dsl,No,No,No,Yes,No,No,One year,No,Credit card (automatic),29.45,1983.15,0.9816666666666667
5002-gcqfh,No,Male,0,Yes,No,49,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.85,4733.1,3.128333333333333
5003-oknnk,No,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.35,335.95,0.6783333333333333
5003-xzwwo,No,Male,0,Yes,No,71,Yes,Yes,Dsl,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),84.2,5956.85,2.8066666666666666
5006-mxvrn,No,Female,0,No,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.7,762.45,0.69
5010-ipeaq,No,Female,0,Yes,Yes,67,No,No phone service,Dsl,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),54.2,3623.95,1.8066666666666669
5012-yspjj,No,Male,0,Yes,Yes,31,Yes,No,Dsl,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,54.35,1647.0,1.8116666666666668
5013-sbuih,Yes,Female,0,No,No,50,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,109.65,5551.15,3.6550000000000002
5014-gsouq,No,Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.95,243.65,0.6649999999999999
5014-wuqmg,No,Male,0,Yes,Yes,47,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,96.1,4391.45,3.203333333333333
5016-ettff,Yes,Male,0,No,No,10,No,No phone service,Dsl,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,29.5,255.25,0.9833333333333333
5016-iberq,No,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,84.25,1968.1,2.808333333333333
5016-lipdw,No,Male,0,Yes,Yes,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.4,1061.6,0.6466666666666666
5018-gwuro,No,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.6,4902.8,2.853333333333333
5018-hekfo,No,Female,0,No,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,24.5,270.15,0.8166666666666667
5018-lxqqg,No,Female,0,Yes,Yes,30,Yes,No,Dsl,Yes,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),66.3,1923.5,2.21
5019-gqvcr,No,Male,1,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.85,3645.6,2.828333333333333
5020-zstty,Yes,Female,1,No,No,54,Yes,Yes,Dsl,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,2.7483333333333335
5022-jnqeq,No,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,647.5,2.5283333333333333
5022-kvdqt,No,Male,0,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,81.3,2272.8,2.71
5025-gooki,No,Female,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.9,347.65,0.63
5027-qpkte,Yes,Male,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.35,451.1,2.3116666666666665
5027-xwqha,Yes,Male,0,No,No,6,Yes,No,Dsl,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.75,270.95,1.4916666666666667
5027-yocxn,No,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),110.05,5686.4,3.6683333333333334
5028-gzldo,Yes,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70.7,140.7,2.356666666666667
5028-htljb,Yes,Male,1,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,0.6683333333333333
5032-miykt,No,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.7,70.7,2.356666666666667
5032-uspkf,No,Female,0,No,No,38,Yes,Yes,Dsl,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),84.1,3187.65,2.8033333333333332
5035-bvcxs,No,Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,75.9,866.4,2.5300000000000002
5035-pgzxh,No,Female,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.8,5914.4,3.56
5038-etmlm,No,Female,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),113.65,8182.75,3.7883333333333336
5039-lzrqt,No,Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.2,273.25,0.6733333333333333
5043-trzwm,No,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,75.55,75.55,2.518333333333333
5044-lrqaq,No,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.2,477.55,2.3066666666666666
5044-xdpyx,No,Female,0,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.5,1281.25,0.85
5046-nuhwd,No,Female,1,Yes,No,29,No,No phone service,Dsl,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.0,1228.65,1.5
5047-lhvly,Yes,Male,1,No,Yes,1,Yes,No,Dsl,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,50.15,50.15,1.6716666666666666
5049-glyvg,Yes,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,20.6,0.6866666666666668
5049-mubwg,No,Male,0,No,No,26,Yes,No,Dsl,Yes,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),75.0,1908.35,2.5
5052-pnlos,Yes,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.35,323.25,3.5116666666666663
5054-iexzt,Yes,Male,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,75.35,2.5116666666666663
5055-brmne,No,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),106.7,7009.5,3.5566666666666666
